30,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
EU,0.25,0,1,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
AS,0.25,1,0,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
SA,0.25,0.25,0.25,0,0.25,0.25,0.25,1,,,,,,,,,
NN,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,,,,,,,,,
MA,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,,,,,,,,,
AP,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,,,,,,,,,
AT,0.25,0.25,0.25,1,0.25,0.25,0.25,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
60,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
EU,0.25,0,1,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
AS,0.25,1,0,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
SA,0.25,0.25,0.25,0,0.25,0.25,0.5,1,,,,,,,,,
NN,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,,,,,,,,,
MA,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,,,,,,,,,
AP,0.25,0.25,0.25,0.5,0.25,0.25,0,1,,,,,,,,,
AT,0.25,0.25,0.25,1,0.25,0.25,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
90,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
EU,0.25,0,1,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
AS,0.25,1,0,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
SA,0.25,0.25,0.25,0,0.25,0.25,0.5,1,,,,,,,,,
NN,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,,,,,,,,,
MA,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,,,,,,,,,
AP,0.25,0.25,0.25,0.5,0.25,0.25,0,1,,,,,,,,,
AT,0.25,0.25,0.25,1,0.25,0.25,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
120,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,0.25,0.25,1,0.25,0.25,0.25,0.25,,,,,,,,,
EU,0.25,0,1,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
AS,0.25,1,0,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
SA,1,0.25,0.25,0,0.25,0.25,0.5,1,,,,,,,,,
NN,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,,,,,,,,,
MA,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,,,,,,,,,
AP,0.25,0.25,0.25,0.5,0.25,0.25,0,1,,,,,,,,,
AT,0.25,0.25,0.25,1,0.25,0.25,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
150,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,1,0.25,1,0.25,1,0.5,1,,,,,,,,,
EU,1,0,1,0.5,0.5,0.5,0.25,0.5,,,,,,,,,
AS,0.25,1,0,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
SA,1,0.5,0.25,0,1,0.5,0.5,1,,,,,,,,,
NN,0.25,0.5,0.25,1,0,0.25,0.25,0.25,,,,,,,,,
MA,1,0.5,0.25,0.5,0.25,0,0.5,0.5,,,,,,,,,
AP,0.5,0.25,0.25,0.5,0.25,0.5,0,1,,,,,,,,,
AT,1,0.5,0.25,1,0.25,0.5,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
180,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,1,0.25,1,1,1,0.5,1,,,,,,,,,
EU,1,0,1,0.5,1,0.5,0.5,0.5,,,,,,,,,
AS,0.25,1,0,0.25,0.5,0.25,0.25,0.25,,,,,,,,,
SA,1,0.5,0.25,0,1,0.5,0.5,1,,,,,,,,,
NN,1,1,0.5,1,0,0.5,0.5,0.5,,,,,,,,,
MA,1,0.5,0.25,0.5,0.5,0,0.5,0.5,,,,,,,,,
AP,0.5,0.5,0.25,0.5,0.5,0.5,0,1,,,,,,,,,
AT,1,0.5,0.25,1,0.5,0.5,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
221,AF,EU,AS,SA,NN,MA,AP,AT,,,,,,,,,
AF,0,1,0.25,1,1,1,0.5,0.5,,,,,,,,,
EU,1,0,1,0.5,1,0.5,0.5,0.5,,,,,,,,,
AS,0.25,1,0,0.25,0.5,0.25,0.25,0.25,,,,,,,,,
SA,1,0.5,0.25,0,1,0.5,0.5,1,,,,,,,,,
NN,1,1,0.5,1,0,0.5,0.5,0.5,,,,,,,,,
MA,1,0.5,0.25,0.5,0.5,0,0.5,0.5,,,,,,,,,
AP,0.5,0.5,0.25,0.5,0.5,0.5,0,1,,,,,,,,,
AT,0.5,0.5,0.25,1,0.5,0.5,1,0,,,,,,,,,
