AF	EU	AS	SA	NN	MA	AP	AT
0	0.25	0.25	0.25	0.25	0.25	0.25	0.25
0.25	0	1	0.25	0.25	0.25	0.25	0.25
0.25	1	0	0.25	0.25	0.25	0.25	0.25
0.25	0.25	0.25	0	0.25	0.25	0.25	1
0.25	0.25	0.25	0.25	0	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0.25	0	0.25
0.25	0.25	0.25	1	0.25	0.25	0.25	0
							
AF	EU	AS	SA	NN	MA	AP	AT
0	0.25	0.25	0.25	0.25	0.25	0.25	0.25
0.25	0	1	0.25	0.25	0.25	0.25	0.25
0.25	1	0	0.25	0.25	0.25	0.25	0.25
0.25	0.25	0.25	0	0.25	0.25	0.5	1
0.25	0.25	0.25	0.25	0	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0	0.25	0.25
0.25	0.25	0.25	0.5	0.25	0.25	0	1
0.25	0.25	0.25	1	0.25	0.25	1	0
							
AF	EU	AS	SA	NN	MA	AP	AT
0	0.25	0.25	0.25	0.25	0.25	0.25	0.25
0.25	0	1	0.25	0.25	0.25	0.25	0.25
0.25	1	0	0.25	0.25	0.25	0.25	0.25
0.25	0.25	0.25	0	0.25	0.25	0.5	1
0.25	0.25	0.25	0.25	0	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0	0.25	0.25
0.25	0.25	0.25	0.5	0.25	0.25	0	1
0.25	0.25	0.25	1	0.25	0.25	1	0
							
AF	EU	AS	SA	NN	MA	AP	AT
0	0.25	0.25	1	0.25	0.25	0.25	0.25
0.25	0	1	0.25	0.25	0.25	0.25	0.25
0.25	1	0	0.25	0.25	0.25	0.25	0.25
1	0.25	0.25	0	0.25	0.25	0.5	1
0.25	0.25	0.25	0.25	0	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0	0.25	0.25
0.25	0.25	0.25	0.5	0.25	0.25	0	1
0.25	0.25	0.25	1	0.25	0.25	1	0
							
AF	EU	AS	SA	NN	MA	AP	AT
0	1	0.25	1	0.25	1	0.5	1
1	0	1	0.5	0.5	0.5	0.25	0.5
0.25	1	0	0.25	0.25	0.25	0.25	0.25
1	0.5	0.25	0	1	0.5	0.5	1
0.25	0.5	0.25	1	0	0.25	0.25	0.25
1	0.5	0.25	0.5	0.25	0	0.5	0.5
0.5	0.25	0.25	0.5	0.25	0.5	0	1
1	0.5	0.25	1	0.25	0.5	1	0
							
AF	EU	AS	SA	NN	MA	AP	AT
0	1	0.25	1	1	1	0.5	1
1	0	1	0.5	1	0.5	0.5	0.5
0.25	1	0	0.25	0.5	0.25	0.25	0.25
1	0.5	0.25	0	1	0.5	0.5	1
1	1	0.5	1	0	0.5	0.5	0.5
1	0.5	0.25	0.5	0.5	0	0.5	0.5
0.5	0.5	0.25	0.5	0.5	0.5	0	1
1	0.5	0.25	1	0.5	0.5	1	0
							
AF	EU	AS	SA	NN	MA	AP	AT
0	1	0.25	1	1	1	0.5	0.5
1	0	1	0.5	1	0.5	0.5	0.5
0.25	1	0	0.25	0.5	0.25	0.25	0.25
1	0.5	0.25	0	1	0.5	0.5	1
1	1	0.5	1	0	0.5	0.5	0.5
1	0.5	0.25	0.5	0.5	0	0.5	0.5
0.5	0.5	0.25	0.5	0.5	0.5	0	1
0.5	0.5	0.25	1	0.5	0.5	1	0

END
