AF	EU	AS	SA	NN	MA	AP	AT
0.00	1.00	10.01	5.28	9.99	1.00	15.97	8.78
1.00	0.00	1.00	13.57	7.44	15.01	31.09	29.25
10.01	1.00	0.00	37.18	5.00	16.74	4.82	16.42
5.28	13.57	37.18	0.00	2.40	19.18	27.16	2.17
9.99	7.44	5.00	2.40	0.00	35.30	31.35	26.10
1.00	15.01	16.74	19.18	35.30	0.00	13.84	10.28
15.97	31.09	4.82	27.16	31.35	13.84	0.00	2.56
8.78	29.25	16.42	2.17	26.10	10.28	2.56	0.00
							
AF	EU	AS	SA	NN	MA	AP	AT
0.00	1.37	13.53	3.88	10.28	1.00	17.83	9.00
1.37	0.00	1.00	15.31	6.92	18.79	36.42	34.46
13.53	1.00	0.00	40.83	6.51	16.97	11.38	24.43
3.88	15.31	40.83	0.00	5.92	20.76	29.59	1.00
10.28	6.92	6.51	5.92	0.00	35.20	43.30	31.39
1.00	18.79	16.97	20.76	35.20	0.00	15.42	10.73
17.83	36.42	11.38	29.59	43.30	15.42	0.00	1.00
9.00	34.46	24.43	1.00	31.39	10.73	1.00	0.00
							
AF	EU	AS	SA	NN	MA	AP	AT
0.00	4.16	48.70	5.00	29.37	4.91	47.42	20.48
4.16	0.00	1.00	47.51	17.09	63.87	106.94	94.25
48.70	1.00	0.00	98.01	27.18	61.96	38.96	75.57
5.00	47.51	98.01	0.00	22.02	55.03	64.08	1.00
29.37	17.09	27.18	22.02	0.00	111.19	153.98	90.68
4.91	63.87	61.96	55.03	111.19	0.00	37.98	20.35
47.42	106.94	38.96	64.08	153.98	37.98	0.00	1.00
20.48	94.25	75.57	1.00	90.68	20.35	1.00	0.00
							
AF	EU	AS	SA	NN	MA	AP	AT
0.00	1.85	23.18	1.00	8.36	1.00	17.85	3.80
1.85	0.00	1.00	15.64	5.72	24.53	37.72	32.06
23.18	1.00	0.00	79.13	41.97	34.04	20.79	35.72
1.00	15.64	79.13	0.00	5.09	15.66	22.09	3.50
8.36	5.72	41.97	5.09	0.00	38.94	6.09	34.69
1.00	24.53	34.04	15.66	38.94	0.00	13.76	3.20
17.85	37.72	20.79	22.09	6.09	13.76	0.00	1.00
3.80	32.06	35.72	3.50	34.69	3.20	1.00	0.00
							
AF	EU	AS	SA	NN	MA	AP	AT
0.00	1.00	23.58	1.00	5.90	1.00	13.71	1.00
1.00	0.00	1.00	14.73	3.65	19.69	32.85	26.75
23.58	1.00	0.00	38.58	22.73	30.83	21.71	34.47
1.00	14.73	38.58	0.00	1.00	12.64	16.68	1.07
5.90	3.65	22.73	1.00	0.00	32.48	53.38	30.82
1.00	19.69	30.83	12.64	32.48	0.00	13.25	3.23
13.71	32.85	21.71	16.68	53.38	13.25	0.00	1.00
1.00	26.75	34.47	1.07	30.82	3.23	1.00	0.00
							
AF	EU	AS	SA	NN	MA	AP	AT
0.00	1.00	7.16	1.00	1.00	1.00	4.12	1.00
1.00	0.00	1.00	4.56	1.00	5.42	8.68	7.03
7.16	1.00	0.00	12.37	12.61	11.11	6.14	10.05
1.00	4.56	12.37	0.00	1.00	4.02	5.05	1.00
1.00	1.00	12.61	1.00	0.00	7.77	12.08	8.05
1.00	5.42	11.11	4.02	7.77	0.00	3.90	1.17
4.12	8.68	6.14	5.05	12.08	3.90	0.00	1.00
1.00	7.03	10.05	1.00	8.05	1.17	1.00	0.00
							
AF	EU	AS	SA	NN	MA	AP	AT
0.00	1.00	9.65	1.00	1.00	1.00	4.68	1.00
1.00	0.00	1.00	5.30	1.00	6.37	9.99	8.25
9.65	1.00	0.00	15.45	11.91	10.73	5.40	9.78
1.00	5.30	15.45	0.00	1.00	4.25	5.67	1.00
1.00	1.00	11.91	1.00	0.00	9.10	13.86	9.52
1.00	6.37	10.73	4.25	9.10	0.00	4.25	1.00
4.68	9.99	5.40	5.67	13.86	4.25	0.00	1.00
1.00	8.25	9.78	1.00	9.52	1.00	1.00	0.00

END
