Group,Species,Kind,CrownAge,Origin
Acrochordidae,2,Reptilia,3,Asia
Agamidae,115,Reptilia,27,Asia
Pygopodoidea,189,Reptilia,65,Gondwana
Chelidae,25,Reptilia,64,Gondwana
Elapidae,144,Reptilia,17,Asia
Gehyra,51,Reptilia,20,Asia
Heteronotia,5,Reptilia,8,Asia
Cyrtodactylus,7,Reptilia,14,Asia
Nactus,4,Reptilia,30,Asia
Myobatrachoidea,136,Amphibia,80,Gondwana
Pelodryadidae,91,Amphibia,30,Gondwana
Pythonidae,18,Reptilia,24,Asia
Eugongylini,145,Reptilia,35,Asia
Sphenomorphini,297,Reptilia,28,Asia
Tiliquini,62,Reptilia,21,Asia
Typhlopidae,49,Reptilia,22,Asia
Varanidae,33,Reptilia,24,Asia
Cophixalus,18,Amphibia,11,Asia
Austrochaperina,5,Amphibia,11,Asia
Maluridae,98,Aves,37,
Pardalotidae,4,Aves,10,
Melaphagidae,144,Aves,31,
Australidelphia,286,Mammalia,68,Gondwana
Hydromyini,50,Mammalia,6,
Rattini,12,Mammalia,2,
Pteropodinae,10,Mammalia,7,
Taphozoinae,9,Mammalia,40,
Cacatuidae,17,Aves,23,
Psittacidae,40,Aves,30,
Ranidae,1,Amphibia,2,Asia
Limnodynastidae,66,Amphibia,77,Gondwana
Myobatrachidae,70,Amphibia,46,Gondwana
Christinus,3,Reptilia,15,Africa
Podargus,3,Aves,10,Asia
