CLASS,ORDER,CLADE,GROUP,"FAMILY, SUBFAMILY, TRIBE",,GENUS,SPECIES,SUBSPECIES,COMMON NAME,SECONDARY COMMON NAMES,AUTHOR_YEAR,GENUS SPECIES SUBSPECIES,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,alboguttata,,Green-striped Frog,,"Günther, 1867",Cyclorana alboguttata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,australis,,Northern Snapping Frog,Giant Frog,"Gray, 1842",Cyclorana australis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,brevipes,,Superb Collared Frog,,"Peters, 1871",Cyclorana brevipes,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,cryptotis,,Hidden-ear Frog,Earless Frog,"Tyler & Martin, 1977",Cyclorana cryptotis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,cultripes,,Knife-footed Frog,Grassland Collared Frog,"Parker, 1940",Cyclorana cultripes,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,longipes,,Long-footed Frog,,"Tyler & Martin, 1977",Cyclorana longipes,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,maculosa,,Spotted Collared Frog,Daly Waters Frog,"Tyler & Martin, 1977",Cyclorana maculosa,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,maini,,Main's Frog,"Sheep Frog, Western Collared Frog","Tyler & Martin, 1977",Cyclorana maini,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,manya,,Little Collared Frog,,"van Buerden & McDonald, 1980",Cyclorana manya,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,novaehollandiae,,Eastern Snapping Frog,,"Steindachner, 1867",Cyclorana novaehollandiae,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,occidentalis,,Western Water-holding Frog,,"Anstis, Price, Roberts, Hines, Catalano, Doughty & Donnellan, 2016",Cyclorana occidentalis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,platycephalus,,Eastern Water-holding Frog,,"Günther, 1873",Cyclorana platycephalus,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,vagitus,,Wailing Frog,,"Tyler, Davies & Martin, 1981",Cyclorana vagitus,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Cyclorana,verrucosa,,Rough Collared Frog,,"Tyler & Martin, 1977",Cyclorana verrucosa,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,adelaidensis,,Slender Tree Frog,,"Gray, 1841",Litoria adelaidensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,andiirrmalin,,Cape Melville Tree Frog,"Andirrmalin Frog, Melville Range Tree Frog","McDonald, 1997",Litoria andiirrmalin,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,aurea,,Green and Gold Bell Frog,,"Lesson, 1829",Litoria aurea,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,aurifera,,Kimberley Rockhole Frog,,"Anstis, Tyler, Roberts, Price & Doughty, 2010",Litoria aurifera,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,axillaris,,Kimberley Rocket Frog,,"Doughty, 2011",Litoria axillaris,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,balatus,,Slender Bleating Tree Frog,,"Rowley, Mahony, Hines, Myers, Price, Shea & Donnellan, 2021",Litoria balatus,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,barringtonensis,,Barrington Tops Tree Frog,,"Copland, 1957",Litoria barringtonensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,bella,,Cape York Graceful Tree Frog,,"McDonald, Rowley, Richards & Frankham, 2016",Litoria bella,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,bicolor,,Northern Sedge Frog,Northern Dwarf Tree Frog,"Gray, 1842",Litoria bicolor,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,booroolongensis,,Booroolong Frog,,"Moore, 1961",Litoria booroolongensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,brevipalmata,,Green-thighed Frog,,"Tyler, Martin & Watson, 1972",Litoria brevipalmata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,burrowsae,,Tasmanian Tree Frog,,"Scott, 1942",Litoria burrowsae,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,caerulea,,Green Tree Frog,Common Green Tree Frog,"White, 1790",Litoria caerulea,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,castanea,,Yellow-spotted Tree Frog,,"Steindachner, 1867",Litoria castanea,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,cavernicola,,Cave Frog,"Cave-dwelling Frog, Cave Tree Frog","Tyler & Davies, 1979",Litoria cavernicola,,,,,,,,,,,,
