query_id,subject_id,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Hime_L1,Hylidae_L1,84.647,1246,1472,219,3,7,1246,84.65,3,1467,1467,99,99,286,1757,1878,0,1629,1806
Hime_L10,Hylidae_L12,83.451,590,707,117,0,0,590,83.45,1,707,756,94,94,64,770,999,0,748,829
Hime_L100,Hylidae_L89,70.492,1032,1464,320,36,112,1032,70.49,34,1400,1401,98,98,1628,180,1908,0,664,736
Hime_L105,Hylidae_L92,76.923,770,1001,231,0,0,770,76.92,47,1047,1050,95,95,254,1254,1512,0,773,856
Hime_L107,Hylidae_L93,81.35,458,563,91,7,14,458,81.35,11,559,564,97,97,828,266,1020,3.72e-151,527,584
Hime_L109,Hylidae_L95,78.081,773,990,163,22,54,773,78.08,16,951,951,98,98,1118,129,1260,0,770,853
Hime_L11,Hylidae_L13,90.164,880,976,56,16,40,880,90.16,1,936,969,97,97,1215,240,1338,0,1295,1435
Hime_L110,Hylidae_L96,78.82,1269,1610,237,41,104,1269,78.82,1,1506,1506,100,100,1696,87,1872,0,1301,1442
Hime_L112,Hylidae_L98,91.786,961,1047,77,1,9,961,91.79,1,1047,1047,100,100,307,1344,1578,0,1505,1668
Hime_L113,Hylidae_L99,79.348,584,736,129,11,23,584,79.35,20,732,732,97,97,921,186,1173,3.49e-178,618,684
Hime_L115,Hylidae_L101,80.856,1322,1635,292,5,21,1322,80.86,24,1649,1653,98,98,102,1724,1869,0,1538,1705
Hime_L116,Hylidae_L102,87.789,1330,1515,185,0,0,1330,87.79,6,1520,1533,99,99,108,1622,1881,0,1899,2105
Hime_L118,Hylidae_L104,81.993,897,1094,162,11,35,897,81.99,1,1061,1128,94,94,117,1208,1461,0,1075,1191
Hime_L121,Hylidae_L107,80.628,1207,1497,218,33,72,1207,80.63,71,1496,1518,94,94,1818,323,2019,0,1324,1467
Hime_L122,Hylidae_L108,78.317,1275,1628,259,44,94,1275,78.32,1,1535,1536,99,99,1844,218,1944,0,1251,1386
Hime_L123,Hylidae_L109,91.629,1828,1995,167,0,0,1828,91.63,6,2000,2001,99,99,282,2276,2391,0,2846,3155
Hime_L124,Hylidae_L110,83.596,744,890,146,0,0,744,83.6,1,890,903,99,99,115,1004,1221,0,948,1050
Hime_L125,Hylidae_L111,81.915,1463,1786,318,3,5,1463,81.91,1,1782,1782,100,100,55,1839,1908,0,1756,1947
Hime_L126,Hylidae_L112,74.038,1135,1533,296,41,102,1135,74.04,1,1431,1431,100,100,1776,244,1815,0,904,1002
Hime_L127,Hylidae_L113,77.188,1411,1828,281,45,136,1411,77.19,1,1731,1797,96,96,2194,406,2289,0,1354,1501
Hime_L13,Hylidae_L15,81.139,684,843,157,1,2,684,81.14,6,846,846,99,99,250,1092,1275,0,805,892
Hime_L130,Hylidae_L116,89.101,1537,1725,116,29,72,1537,89.1,1,1653,1653,100,100,2005,281,2181,0,2204,2443
Hime_L132,Hylidae_L118,72.201,574,795,152,21,69,574,72.2,58,783,783,93,93,1104,310,1488,2.37e-117,416,461
Hime_L135,Hylidae_L120,85.097,965,1134,126,22,43,965,85.1,2,1092,1092,99,99,1378,245,1653,0,1228,1361
Hime_L136,Hylidae_L121,81.818,1188,1452,240,7,24,1188,81.82,1,1444,1446,99,99,100,1535,1764,0,1419,1573
Hime_L137,Hylidae_L122,82.226,1027,1249,168,26,54,1027,82.23,67,1261,1269,94,94,1637,389,1851,0,1191,1320
Hime_L138,Hylidae_L123,82.668,1388,1679,270,2,21,1388,82.67,1,1658,1659,99,99,148,1826,1998,0,1728,1916
Hime_L141,Hylidae_L125,90.722,792,873,81,0,0,792,90.72,1,873,873,100,100,94,966,1134,0,1214,1345
Hime_L144,Hylidae_L128,79.69,875,1098,223,0,0,875,79.69,1,1098,1113,99,99,166,1263,1707,0,976,1081
Hime_L146,Hylidae_L129,77.785,1138,1463,253,33,72,1138,77.79,1,1392,1392,100,100,1650,189,1812,0,1111,1231
Hime_L147,Hylidae_L131,65.056,525,807,143,18,139,525,65.06,137,806,849,79,79,1054,250,1362,1.74e-62,234,259
Hime_L149,Hylidae_L132,83.842,742,885,139,2,4,742,83.84,5,885,885,99,99,219,1103,1212,0,948,1051
Hime_L15,Hylidae_L16,81.893,1099,1342,241,1,2,1099,81.89,1,1340,1344,99,99,47,1388,1662,0,1324,1467
Hime_L151,Hylidae_L134,92.848,1402,1510,108,0,0,1402,92.85,6,1515,1515,99,99,297,1806,1899,0,2244,2488
Hime_L152,Hylidae_L135,83.515,1150,1377,206,2,21,1150,83.51,1,1356,1356,100,100,151,1527,1644,0,1471,1630
Hime_L153,Hylidae_L136,78.524,1064,1355,289,2,2,1064,78.52,9,1362,1374,99,99,123,1476,1689,0,1127,1249
Hime_L154,Hylidae_L137,88.177,1335,1514,98,33,81,1335,88.18,4,1436,1443,99,99,1760,247,1863,0,1854,2055
Hime_L155,Hylidae_L138,74.627,1050,1407,321,6,36,1050,74.63,40,1437,1554,90,90,250,1629,1905,0,936,1037
Hime_L156,Hylidae_L139,79.305,981,1237,200,28,56,981,79.3,10,1191,1191,99,99,1334,99,1458,0,1013,1123
Hime_L159,Hylidae_L142,87.477,971,1110,138,1,1,971,87.48,20,1128,1128,98,98,157,1266,1449,0,1372,1521
Hime_L16,Hylidae_L17,77.186,812,1052,240,0,0,812,77.19,43,1094,1104,95,95,241,1292,1608,0,816,904
Hime_L160,Hylidae_L143,90.497,1238,1368,118,3,12,1238,90.5,1,1356,1356,100,100,208,1575,1770,0,1879,2083
Hime_L161,Hylidae_L144,79.045,596,754,126,16,32,596,79.05,5,726,726,99,99,1050,297,1224,5.14e-176,611,677
Hime_L162,Hylidae_L145,86.703,1265,1459,128,29,66,1265,86.7,1,1393,1401,99,99,1641,183,1782,0,1695,1879
Hime_L163,Hylidae_L146,85.032,267,314,38,3,9,267,85.03,1,305,318,96,96,978,665,1260,3.23e-98,351,388
Hime_L164,Hylidae_L147,81.818,1395,1705,161,48,149,1395,81.82,1,1556,1557,99,99,1912,208,2121,0,1608,1783
Hime_L165,Hylidae_L148,72.35,1010,1396,250,48,136,1010,72.35,66,1335,1335,95,95,1453,68,1671,0,705,781
Hime_L166,Hylidae_L149,88.177,1432,1624,104,39,88,1432,88.18,2,1537,1539,99,99,1912,289,1971,0,1974,2188
Hime_L169,Hylidae_L152,87.433,814,931,116,1,1,814,87.43,1,930,930,100,100,145,1075,1185,0,1150,1274
Hime_L17,Hylidae_L19,82.556,1098,1330,231,1,1,1098,82.56,1,1329,1329,100,100,154,1483,1821,0,1350,1496
Hime_L172,Hylidae_L155,85.298,1346,1578,166,6,66,1346,85.3,4,1518,1518,99,99,217,1791,1998,0,1833,2032
Hime_L174,Hylidae_L156,94.811,1078,1137,53,3,6,1078,94.81,1,1131,1137,99,99,112,1248,1509,0,1777,1970
Hime_L175,Hylidae_L157,81.481,682,837,105,21,50,682,81.48,9,799,810,98,98,1338,506,1557,0,767,850
Hime_L177,Hylidae_L159,81.474,1183,1452,269,0,0,1183,81.47,1,1452,1452,100,100,118,1569,1731,0,1407,1560
Hime_L179,Hylidae_L162,81.798,1465,1791,211,48,115,1465,81.8,1,1676,1677,99,99,1951,161,2034,0,1662,1842
