query_id,subject_id,subject_id_name,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Crown_Oz_L409,ENSXETG00000007705|ENSXETG00000007705.5|ENSXETT00000102249|ENSXETT00000102249.2|abcd1|8|23704630|23734555|23704630|23706292,abcd1,99.446,718,722,1,1,3,718,99.45,2,723,726,99,99,1045,1763,1863,0,1284,1423
Crown_Oz_L126,ENSXETG00000036446|ENSXETG00000036446.2|ENSXETT00000088625|ENSXETT00000088625.2|abcd2|3|75222744|75253815|75252675|75253815,abcd2,78.804,580,736,108,10,48,580,78.8,15,702,705,98,98,531,1266,1341,5.83E-178,626,693
Crown_Oz_L339,ENSXETG00000039232|ENSXETG00000039232.2|ENSXETT00000072384|ENSXETT00000072384.2|ackr3|9|60041446|60055427|60053520|60055427,ackr3,77.977,825,1058,207,3,26,825,77.98,7,1064,1143,93,93,209,1240,2108,0,868,962
Crown_Oz_L438,ENSXETG00000013631|ENSXETG00000013631.5|ENSXETT00000029862|ENSXETT00000029862.5|adamts1|2|18147772|18156710|18154436|18156710,adamts1,74.074,580,783,159,10,44,580,74.07,4,756,828,91,91,102,870,2475,8.41E-139,496,549
Crown_Oz_L92,ENSXETG00000045815|ENSXETG00000045815.1|ENSXETT00000105458;ENSXETT00000114640|ENSXETT00000105458.1;ENSXETT00000114640.1|adarb2|6|19429613|19918672|19545807|19546714,adarb2,78.806,673,854,142,10,39,673,78.81,3,826,834,99,99,114,958,1108,0,718,795
Crown_Oz_L259,ENSXETG00000031189|ENSXETG00000031189.3|ENSXETT00000085530;ENSXETT00000094394;ENSXETT00000091598;ENSXETT00000077721;ENSXETT00000090284;ENSXETT00000072937;ENSXETT00000049420;ENSXETT00000089817|ENSXETT00000085530.2;ENSXETT00000094394.2;ENSXETT00000091598.2;ENSXETT00000077721.2;ENSXETT00000090284.2;ENSXETT00000072937.2;ENSXETT00000049420.5;ENSXETT00000089817.2|adgrl2|4|78657212|78769146|78688831|78689631,adgrl2,80.764,655,811,154,1,2,655,80.76,23,833,834,97,97,97,905,1001,0,758,840
Crown_Oz_L200,ENSXETG00000045270|ENSXETG00000045270.1|ENSXETT00000119024;ENSXETT00000111851;ENSXETT00000114842|ENSXETT00000119024.1;ENSXETT00000111851.1;ENSXETT00000114842.1|adnp|10|35650972|35687236|35671825|35687236,adnp,73.834,1425,1930,382,39,123,1425,73.83,3,1849,1854,99,99,340,2229,15612,0,1162,1288
Crown_Oz_L193,ENSXETG00000014810|ENSXETG00000014810.5|ENSXETT00000071706|ENSXETT00000071706.2|adnp2|6|96892081|96917280|96892081|96896966,adnp2,67.699,1006,1486,385,32,95,1006,67.7,7,1444,1449,99,99,1472,2910,5086,1.07E-127,459,508
Crown_Oz_L37,ENSXETG00000044132|ENSXETG00000044132.1|ENSXETT00000121397|ENSXETT00000121397.1|ADRB1|7|3825631|3832647|3825631|3830476,ADRB1,80.591,627,778,147,2,4,627,80.59,1,776,789,98,98,1333,2108,5046,0,718,795
Crown_Oz_L36,ENSXETG00000037096|ENSXETG00000037096.2|ENSXETT00000095739|ENSXETT00000095739.2|adrb2|3|41009446|41032167|41028612|41032167,adrb2,81.651,712,872,151,1,9,712,81.65,1,863,873,99,99,2521,3392,3756,0,856,948
