query_id,subject_id,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Mi_L10__My_L7,ENSXETT00000056261.3,75.35,969,1286,314,1,3,969,75.35,125,1410,1622,79,79,1050,2332,5310,0,894,991
Mi_L100__My_L66,ENSXETT00000013576.4,73.177,843,1152,261,4,48,843,73.18,372,1520,1697,68,68,25,1131,1845,0,758,840
Mi_L101__My_L67,ENSXETT00000047665.4,79.109,977,1235,241,4,17,977,79.11,4,1238,1841,67,67,1078,2295,2295,0,1068,1184
Mi_L102__My_L68,ENSXETT00000068337.1,72.844,625,858,182,22,51,625,72.84,204,1060,1219,70,70,1671,864,8916,3.03e-126,453,502
Mi_L103__My_L69,ENSXETT00000070780.1,71.241,758,1064,261,12,45,758,71.24,123,1182,1909,83,56,4398,5420,12186,3.44e-153,545,603
Mi_L104__My_L70,ENSXETT00000000136.4,77.541,984,1269,271,3,14,984,77.54,156,1411,1427,88,88,775,2042,2361,0,1004,1113
Mi_L108__My_L72,ENSXETT00000005176.4,68.14,1048,1538,369,39,121,1048,68.14,179,1715,1715,90,90,343,1760,2871,1.31e-151,539,597
Mi_L113__My_L74,ENSXETT00000040366.4,78.961,897,1136,239,0,0,897,78.96,128,1263,1423,80,80,31,1166,5463,0,974,1079
Mi_L114__My_L75,ENSXETT00000064205.2,72.233,757,1048,286,3,5,757,72.23,200,1246,1389,75,75,11,1054,1842,5.14e-162,572,634
Mi_L115__My_L77,ENSXETT00000068404.1,80.479,470,584,90,13,24,470,80.48,154,737,990,59,59,398,957,957,1.27e-142,508,562
Mi_L116__My_L78,ENSXETT00000091387.1,79.899,632,791,129,15,30,632,79.9,92,882,890,89,89,938,178,942,0,677,750
Mi_L117__My_L79,ENSXETT00000044552.4,70.566,760,1077,238,29,79,760,70.57,124,1198,1397,77,77,4,1003,1005,1.3e-131,472,523
Mi_L118__My_L80,ENSXETT00000044578.3,74.306,1232,1658,349,41,77,1232,74.31,71,1728,1731,96,96,6708,8288,8631,0,980,1086
Mi_L119__My_L81,ENSXETT00000096112.1,69.585,469,674,158,21,47,469,69.58,282,952,1087,62,62,4413,3784,4413,4.89e-66,253,280
Mi_L120__My_L82,ENSXETT00000020221.3,78.538,827,1053,219,4,7,827,78.54,160,1210,1398,75,75,1,1048,1932,0,869,963
Mi_L121__My_L83,ENSXETT00000050945.4,75.96,534,703,148,11,21,534,75.96,224,925,954,74,74,104,786,1095,4.86e-135,482,534
Mi_L122__My_L84,ENSXETT00000055732.3,80.219,880,1097,211,3,6,880,80.22,139,1232,1350,81,81,190,1283,1293,0,994,1101
Mi_L123__My_L86,ENSXETT00000049531.4,74.529,989,1327,298,12,40,989,74.53,3,1321,1956,93,67,1182,2476,4113,0,869,963
Mi_L124__My_L87,ENSXETT00000022390.4,81.529,1333,1635,290,3,12,1333,81.53,1,1632,1829,89,89,3601,5226,5229,0,1589,1761
Mi_L125__My_L88,ENSXETT00000045574.4,67.867,773,1139,309,26,57,773,67.87,259,1361,1439,77,77,1429,2546,3573,2.59e-96,354,392
Mi_L126__My_L89,ENSXETT00000043147.4,69.727,281,403,103,6,19,281,69.73,301,701,1481,46,27,68,453,5118,4.24e-43,178,196
Mi_L127__My_L90,ENSXETT00000034141.4,75.887,107,141,24,3,10,107,75.89,1404,1544,1812,8,8,1247,1117,1287,0.0000000000000000004,99.6,109
Mi_L13__My_L8,ENSXETT00000103484.1,75.387,536,711,167,4,8,536,75.39,80,789,942,75,75,3392,4095,4380,3.23e-137,489,542
Mi_L130__My_L91,ENSXETT00000049710.3,75.623,1275,1686,297,43,114,1275,75.62,16,1701,1957,86,86,2662,4233,4233,0,1119,1240
Mi_L131__My_L92,ENSXETT00000075383.1,76.57,1683,2198,452,6,63,1683,76.57,255,2452,2455,90,90,71,2205,14889,0,1676,1858
Mi_L135__My_L94,ENSXETT00000040897.4,70.795,766,1082,233,27,83,766,70.79,126,1200,2252,76,48,1,1006,2913,4.35e-140,500,554
Mi_L136__My_L95,ENSXETT00000020700.3,74.026,342,462,118,2,2,342,74.03,237,697,1336,35,35,1472,1932,2946,1.02e-75,286,316
