query_id,subject_id,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Microhylidae_L1,ENSXETT00000097700.1,80.111,1152,1438,260,4,26,1152,80.11,239,1676,1767,81,81,791,2202,3141,0,1316,1459
Microhylidae_L10,ENSXETT00000056261.3,75.308,979,1300,312,3,9,979,75.31,109,1402,1614,80,80,1036,2332,5310,0,893,989
Microhylidae_L100,ENSXETT00000013576.4,73.753,843,1143,261,4,39,843,73.75,353,1492,1669,68,68,25,1131,1845,0,774,858
Microhylidae_L101,ENSXETT00000047665.4,69.919,860,1230,355,3,15,860,69.92,4,1233,1773,69,69,1080,2294,2295,0,681,754
Microhylidae_L102,ENSXETT00000051463.4,70.833,493,696,177,8,26,493,70.83,149,838,855,81,81,773,98,6654,6.05e-89,330,365
Microhylidae_L103,ENSXETT00000070780.1,71.067,759,1068,253,12,56,759,71.07,120,1176,1903,83,56,4398,5420,12186,1.2e-152,542,600
Microhylidae_L104,ENSXETT00000000136.4,77.815,463,595,130,2,2,463,77.82,135,728,744,80,80,777,1370,2361,6.8e-132,471,522
Microhylidae_L105,ENSXETT00000000855.4,76.933,1224,1591,331,19,36,1224,76.93,94,1680,1755,90,90,611,2169,2169,0,1171,1298
Microhylidae_L108,ENSXETT00000005176.4,70.935,1047,1476,367,20,62,1047,70.93,173,1644,1644,90,90,343,1760,2871,0,709,785
Microhylidae_L109,ENSXETT00000061289.2,74.16,1059,1428,306,19,63,1059,74.16,13,1440,1690,84,84,5134,6498,6507,0,901,998
Microhylidae_L110,ENSXETT00000061440.2,79.22,1300,1641,293,15,48,1300,79.22,249,1889,1998,82,82,1777,185,2175,0,1406,1558
Microhylidae_L111,ENSXETT00000040362.4,76.311,451,591,127,8,13,451,76.31,2,591,591,99,99,1698,1120,2391,1.26e-114,415,459
Microhylidae_L112,ENSXETT00000050533.3,75.97,803,1057,218,13,36,803,75.97,9,1061,1077,98,98,1261,2285,2340,0,741,821
Microhylidae_L113,ENSXETT00000040366.4,78.961,897,1136,239,0,0,897,78.96,121,1256,1416,80,80,31,1166,5463,0,974,1079
Microhylidae_L114,ENSXETT00000064205.2,72.233,757,1048,286,3,5,757,72.23,200,1246,1389,75,75,11,1054,1842,5.14e-162,572,634
Microhylidae_L115,ENSXETT00000068404.1,83.333,470,564,90,2,4,470,83.33,154,717,960,59,59,398,957,957,1.31e-167,590,654
Microhylidae_L116,ENSXETT00000091387.1,81.748,636,778,131,6,11,636,81.75,81,858,858,91,91,938,172,942,0,748,829
Microhylidae_L117,ENSXETT00000044552.4,74.247,764,1029,231,14,34,764,74.25,122,1145,1344,76,76,4,1003,1005,0,636,705
Microhylidae_L118,ENSXETT00000044578.3,78.019,1150,1474,306,11,18,1150,78.02,70,1542,1593,92,92,6707,8163,8631,0,1172,1299
Microhylidae_L119,ENSXETT00000096112.1,72.136,466,646,158,13,22,466,72.14,206,845,972,66,66,4413,3784,4413,3.58e-86,321,355
Microhylidae_L120,ENSXETT00000020221.3,78.538,827,1053,219,4,7,827,78.54,160,1210,1398,75,75,1,1048,1932,0,869,963
Microhylidae_L121,ENSXETT00000050945.4,77.504,534,689,148,5,7,534,77.5,222,909,933,74,74,104,786,1095,1.05e-149,531,588
Microhylidae_L122,ENSXETT00000055732.3,79.244,859,1084,219,2,6,859,79.24,139,1219,1290,84,84,190,1270,1293,0,938,1039
Microhylidae_L123,ENSXETT00000049531.4,74.848,988,1320,294,8,38,988,74.85,1,1313,1908,93,69,1192,2480,4113,0,889,985
Microhylidae_L124,ENSXETT00000022390.4,80.385,1295,1611,310,2,6,1295,80.38,4,1614,1797,90,90,3622,5226,5229,0,1479,1639
Microhylidae_L125,ENSXETT00000045574.4,67.888,797,1174,304,28,73,797,67.89,247,1367,1407,80,80,1429,2582,3573,2.08e-97,358,396
Microhylidae_L126,ENSXETT00000043147.4,69.727,281,403,103,6,19,281,69.73,287,687,1467,47,27,68,453,5118,4.2e-43,178,196
Microhylidae_L127,ENSXETT00000034141.4,76.978,107,139,24,2,8,107,76.98,1359,1497,1740,8,8,1247,1117,1287,0.00000000000000000000259,105,116
Microhylidae_L128,ENSXETT00000033942.3,70.376,468,665,164,9,33,468,70.38,283,920,1191,62,54,9367,10025,11112,4.13e-80,301,333
Microhylidae_L129,ENSXETT00000091860.1,79.115,1144,1446,259,17,43,1144,79.11,222,1667,1970,73,73,353,1755,1755,0,1214,1346
Microhylidae_L13,ENSXETT00000103484.1,75.387,536,711,167,4,8,536,75.39,80,789,936,76,76,3392,4095,4380,3.21e-137,489,542
Microhylidae_L130,ENSXETT00000049710.3,77.852,1276,1639,294,21,69,1276,77.85,16,1652,1908,86,86,2662,4233,4233,0,1296,1436
Microhylidae_L131,ENSXETT00000075383.1,76.57,1683,2198,452,6,63,1683,76.57,239,2436,2439,90,90,71,2205,14889,0,1676,1858
Microhylidae_L134,ENSXETT00000084259.1,74.799,1208,1615,354,25,53,1208,74.8,1,1611,1890,85,85,904,2469,3402,0,1030,1141
Microhylidae_L135,ENSXETT00000040897.4,71.802,1319,1837,383,31,135,1319,71.8,126,1955,2206,83,83,1,1709,2913,0,980,1086
Microhylidae_L136,ENSXETT00000020700.3,74.026,342,462,118,2,2,342,74.03,236,696,1320,35,35,1472,1932,2946,1.01e-75,286,316
Microhylidae_L137,ENSXETT00000064049.2,66.269,611,922,243,21,68,611,66.27,220,1116,1134,79,79,28,906,3432,5.83e-59,230,254
Microhylidae_L138,ENSXETT00000077003.1,73.183,1198,1637,369,26,70,1198,73.18,269,1903,2116,77,77,1481,3049,4653,0,939,1040
Microhylidae_L139,ENSXETT00000012947.3,69.638,828,1189,334,16,27,828,69.64,5,1178,1182,99,99,1148,2324,2754,3.82e-131,470,520
Microhylidae_L14,ENSXETT00000024318.3,79.361,323,407,78,1,6,323,79.36,7,413,1218,63,33,1,401,939,6.26e-97,357,395
Microhylidae_L141,ENSXETT00000005445.3,78.924,880,1115,235,0,0,880,78.92,187,1301,1488,75,75,46,1160,1206,0,952,1055
Microhylidae_L142,ENSXETT00000000764.4,69.756,715,1025,288,16,22,715,69.76,5,1029,1092,94,94,1676,674,6552,2.9e-113,411,455
Microhylidae_L143,ENSXETT00000011078.4,70.449,801,1137,294,20,42,801,70.45,101,1235,1428,79,79,182,1278,1296,9.57e-140,499,553
Microhylidae_L144,ENSXETT00000101467.1,75.847,1209,1594,324,13,61,1209,75.85,1,1594,1869,85,85,6793,8325,8325,0,1146,1270
Microhylidae_L145,ENSXETT00000071330.1,81.878,1003,1225,188,18,34,1003,81.88,283,1507,1854,66,66,1762,2952,2952,0,1173,1300
Microhylidae_L146,ENSXETT00000085854.1,76.812,1335,1738,361,13,42,1335,76.81,222,1953,2130,81,81,2820,4521,8964,0,1306,1447
Microhylidae_L147,ENSXETT00000068912.1,67.585,319,472,141,8,12,319,67.58,143,605,852,54,54,4952,5420,7227,7.36e-31,137,151
Microhylidae_L149,ENSXETT00000095739.1,74.754,761,1018,220,10,37,761,74.75,1,1016,1179,86,86,211,1193,1233,0,681,754
Microhylidae_L15,ENSXETT00000083641.1,68.798,624,907,220,21,63,624,68.8,716,1614,1617,61,56,852,1,2526,1.41e-87,325,360
Microhylidae_L150,ENSXETT00000063902.2,77.295,480,621,139,2,2,480,77.29,1,620,693,89,89,490,1109,1293,1.49e-133,478,529
Microhylidae_L152,ENSXETT00000063487.2,72.403,934,1290,323,21,33,934,72.4,101,1386,1386,93,93,2690,1430,3732,0,667,739
Microhylidae_L153,ENSXETT00000044302.4,74.401,1055,1418,342,4,21,1055,74.4,168,1582,1611,88,88,633,2032,2136,0,922,1022
Microhylidae_L154,ENSXETT00000039122.2,78.073,705,903,198,0,0,705,78.07,1,903,912,99,99,664,1566,2175,0,742,822
Microhylidae_L155,ENSXETT00000025953.4,76.055,1099,1445,308,17,38,1099,76.06,139,1581,1764,82,82,316,1724,1728,0,1013,1123
Microhylidae_L156,ENSXETT00000093496.1,72.535,1302,1795,452,26,41,1302,72.53,3,1790,1792,99,99,6393,8153,12000,0,948,1050
Microhylidae_L158,ENSXETT00000024557.4,75.631,959,1268,281,6,28,959,75.63,105,1364,1509,83,83,330,1577,3093,0,898,995
Microhylidae_L159,ENSXETT00000079252.1,74.114,1171,1580,354,14,55,1171,74.11,250,1821,1821,86,86,733,2265,4602,0,1020,1130
Microhylidae_L16,ENSXETT00000094953.1,82.571,668,809,139,1,2,668,82.57,307,1115,1392,58,58,495,1301,4329,0,821,910
Microhylidae_L161,ENSXETT00000044138.4,75.136,1245,1657,361,3,51,1245,75.14,3,1659,1662,99,99,4404,6009,6684,0,1164,1290
Microhylidae_L162,ENSXETT00000056396.3,77.16,500,648,145,1,3,500,77.16,1,648,651,99,99,7915,8559,13308,1.22e-140,500,554
Microhylidae_L163,ENSXETT00000097817.1,76.262,408,535,127,0,0,408,76.26,10,544,618,88,87,7504,8038,15606,4.32e-108,393,435
Microhylidae_L164,ENSXETT00000033708.4,74.34,1182,1590,358,20,50,1182,74.34,10,1580,1620,97,97,1612,3170,7776,0,990,1097
Microhylidae_L165,ENSXETT00000030985.2,80.629,1257,1559,247,20,55,1257,80.63,1,1559,1914,81,81,365,1868,2379,0,1419,1573
Microhylidae_L166,ENSXETT00000064889.2,67.2,840,1250,321,19,89,840,67.2,384,1625,2101,59,59,238,1406,2880,4.63e-114,414,458
Microhylidae_L167,ENSXETT00000003402.3,80.214,973,1213,202,16,38,973,80.21,215,1427,1626,75,75,1,1175,1905,0,1070,1186
Microhylidae_L168,ENSXETT00000087941.1,75.729,649,857,177,9,31,649,75.73,137,984,984,86,86,7120,6286,19464,6.1e-172,606,671
Microhylidae_L17,ENSXETT00000051742.4,70.836,1280,1807,426,26,101,1280,70.84,7,1803,1977,91,91,1165,2880,3765,0,908,1006
Microhylidae_L170,ENSXETT00000067712.1,79.682,851,1068,209,4,8,851,79.68,127,1193,1194,89,89,13,1073,1080,0,941,1043
Microhylidae_L171,ENSXETT00000095062.1,75.946,1064,1401,307,7,30,1064,75.95,1,1401,1560,90,90,1036,2406,8061,0,1025,1136
Microhylidae_L172,ENSXETT00000098975.1,77.896,585,751,136,14,30,585,77.9,319,1068,1341,56,56,1463,2184,2184,4.07e-163,577,639
Microhylidae_L173,ENSXETT00000041739.3,74.736,1133,1516,340,18,43,1133,74.74,10,1522,1794,84,84,1018,2493,2517,0,983,1089
Microhylidae_L174,ENSXETT00000103064.1,85.762,259,302,39,2,4,259,85.76,268,569,1149,26,26,704,1001,1002,1.07e-93,346,383
Microhylidae_L175,ENSXETT00000081522.1,64.868,541,834,220,17,73,541,64.87,365,1198,1869,57,45,1479,2239,4686,3.62e-45,185,204
Microhylidae_L177,ENSXETT00000050306.4,69.797,1308,1874,431,41,135,1308,69.8,71,1917,1940,95,95,227,1992,7131,0,800,886
Microhylidae_L178,ENSXETT00000083934.1,72.176,1310,1815,413,32,92,1310,72.18,1,1808,1809,99,99,1876,147,6423,0,949,1052
