Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
Crown_Oz_L1.fasta-gb_NT.fasta	67	1329	89043	2323	2.609	719	0.541	565	0.425	0.615	0.385	28933	16555	16770	24417	0	0	21	24	0	0	0	0	0	0	0	2323	0	0	0
Crown_Oz_L10.fasta-gb_NT.fasta	69	747	51543	2209	4.286	268	0.359	214	0.286	0.502	0.498	12289	12612	11908	12502	0	0	7	16	0	0	0	0	0	0	0	1387	0	822	0
Crown_Oz_L100.fasta-gb_NT.fasta	99	1728	171072	6080	3.554	943	0.546	811	0.469	0.602	0.398	61375	29668	36055	37823	0	0	23	48	0	0	0	0	0	0	0	5195	0	885	0
Crown_Oz_L101.fasta-gb_NT.fasta	99	1824	180576	5459	3.023	1194	0.655	1006	0.552	0.572	0.428	58662	43414	31512	41401	0	0	77	51	0	0	0	0	0	0	0	5459	0	0	0
Crown_Oz_L102.fasta-gb_NT.fasta	101	1437	145137	5986	4.124	947	0.659	746	0.519	0.53	0.47	42642	37060	28343	31056	0	0	28	22	0	0	0	0	0	0	0	5074	0	912	0
Crown_Oz_L103.fasta-gb_NT.fasta	74	1521	112554	5261	4.674	982	0.646	800	0.526	0.565	0.435	33520	27677	19008	27013	0	0	42	33	0	0	0	0	0	0	0	4640	0	621	0
Crown_Oz_L104.fasta-gb_NT.fasta	99	1116	110484	4638	4.198	546	0.489	471	0.422	0.538	0.462	26315	23576	25263	30642	0	0	13	37	0	0	0	0	0	0	0	1716	0	2922	0
Crown_Oz_L105.fasta-gb_NT.fasta	94	801	75294	3535	4.695	601	0.75	480	0.599	0.545	0.455	19670	14826	17820	19420	0	0	11	12	0	0	0	0	0	0	0	2695	0	840	0
Crown_Oz_L106.fasta-gb_NT.fasta	97	1125	109125	1764	1.616	480	0.427	385	0.342	0.466	0.534	27173	37264	20075	22789	0	0	7	53	0	0	0	0	0	0	0	1764	0	0	0
Crown_Oz_L107.fasta-gb_NT.fasta	67	1653	110751	3158	2.851	961	0.581	727	0.44	0.516	0.484	29824	29854	22239	25600	0	0	35	41	0	0	0	0	0	0	0	3158	0	0	0
Crown_Oz_L108.fasta-gb_NT.fasta	73	1767	128991	3943	3.057	733	0.415	542	0.307	0.596	0.404	36683	24434	26057	37820	0	0	24	30	0	0	0	0	0	0	0	3739	0	204	0
Crown_Oz_L109.fasta-gb_NT.fasta	92	1809	166428	6344	3.812	1122	0.62	937	0.518	0.587	0.413	57942	32179	33780	36071	0	0	55	57	0	0	0	0	0	0	0	4961	0	1383	0
Crown_Oz_L11.fasta-gb_NT.fasta	95	891	84645	3135	3.704	574	0.644	485	0.544	0.6	0.4	22536	16740	15877	26292	0	0	27	38	0	0	0	0	0	0	0	1824	0	1311	0
Crown_Oz_L110.fasta-gb_NT.fasta	71	1833	130143	2532	1.946	1049	0.572	752	0.41	0.494	0.506	33490	35238	29242	29532	0	0	53	56	0	0	0	0	0	0	0	1896	0	636	0
Crown_Oz_L111.fasta-gb_NT.fasta	69	876	60444	2731	4.518	404	0.461	270	0.308	0.603	0.397	17536	10489	12408	17238	0	0	25	17	0	0	0	0	0	0	0	2389	0	342	0
Crown_Oz_L112.fasta-gb_NT.fasta	96	1641	157536	7937	5.038	1116	0.68	778	0.474	0.557	0.443	45364	32246	33966	37868	0	0	60	95	0	0	0	0	0	0	0	1892	0	6045	0
Crown_Oz_L113.fasta-gb_NT.fasta	101	1770	178770	1540	0.861	826	0.467	717	0.405	0.525	0.475	48877	41142	43031	44065	0	0	43	72	0	0	0	0	0	0	0	1540	0	0	0
Crown_Oz_L114.fasta-gb_NT.fasta	90	1212	109080	3007	2.757	678	0.559	547	0.451	0.53	0.47	29597	25507	24304	26580	0	0	39	46	0	0	0	0	0	0	0	1933	0	1074	0
