query_id,subject_id,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Microhylidae_L10,Myobatrachidae_L7,80.991,1095,1352,249,5,8,1095,80.99,115,1459,1614,83,83,46,1396,1410,0,1265,1402
Microhylidae_L100,Myobatrachidae_L66,75.701,891,1177,256,2,30,891,75.7,320,1496,1669,71,71,229,1375,1446,0,903,1001
Microhylidae_L101,Myobatrachidae_L67,71.237,1273,1787,417,31,97,1273,71.24,4,1726,1773,97,97,6,1759,1800,0,1010,1119
Microhylidae_L102,Myobatrachidae_L68,70.322,590,839,184,23,65,590,70.32,44,838,855,93,93,123,940,1200,1.63e-99,357,395
Microhylidae_L103,Myobatrachidae_L69,72.922,1360,1865,411,21,94,1360,72.92,23,1881,1903,98,98,2,1778,1794,0,1109,1229
Microhylidae_L104,Myobatrachidae_L70,83.717,509,608,95,3,4,509,83.72,136,741,744,81,81,106,711,1374,0,641,710
Microhylidae_L108,Myobatrachidae_L72,74.832,1222,1633,308,45,103,1222,74.83,23,1584,1644,95,95,1601,1,1623,0,1017,1127
Microhylidae_L113,Myobatrachidae_L74,83.435,962,1153,191,0,0,962,83.43,111,1263,1416,81,81,90,1242,1359,0,1221,1353
Microhylidae_L114,Myobatrachidae_L75,79.068,831,1051,217,1,3,831,79.07,200,1250,1389,76,76,164,1211,1218,0,910,1008
Microhylidae_L115,Myobatrachidae_L77,84.437,510,604,70,13,24,510,84.44,138,721,960,61,61,769,170,822,0,636,704
Microhylidae_L116,Myobatrachidae_L78,83.621,679,812,104,16,29,679,83.62,69,858,858,92,92,63,867,867,0,826,915
Microhylidae_L117,Myobatrachidae_L79,75.096,781,1040,187,30,72,781,75.1,155,1146,1344,74,74,1097,82,1191,0,668,740
Microhylidae_L118,Myobatrachidae_L80,77.137,1191,1544,287,37,66,1191,77.14,71,1559,1593,93,93,1648,116,1689,0,1119,1240
Microhylidae_L119,Myobatrachidae_L81,77.931,565,725,118,20,42,565,77.93,163,854,972,71,71,184,899,1008,1.53e-157,550,609
Microhylidae_L120,Myobatrachidae_L82,83.161,884,1063,152,3,27,884,83.16,152,1214,1398,76,76,11,1046,1056,0,1124,1246
Microhylidae_L121,Myobatrachidae_L83,81.56,575,705,109,11,21,575,81.56,221,910,933,74,74,725,27,753,0,663,734
Microhylidae_L122,Myobatrachidae_L84,81.176,897,1105,205,2,3,897,81.18,129,1233,1290,86,86,63,1164,1281,0,1051,1165
Microhylidae_L123,Myobatrachidae_L86,77.719,1022,1315,247,9,46,1022,77.72,1,1313,1908,93,69,13,1283,1851,0,1056,1170
Microhylidae_L124,Myobatrachidae_L87,83.665,1388,1659,263,4,8,1388,83.66,4,1657,1797,92,92,22,1677,1788,0,1761,1952
Microhylidae_L125,Myobatrachidae_L88,75.731,855,1129,246,13,28,855,75.73,244,1348,1407,79,79,253,1377,1377,0,769,852
Microhylidae_L126,Myobatrachidae_L89,77.556,933,1203,206,13,64,933,77.56,35,1230,1467,82,82,40,1185,1368,0,966,1070
Microhylidae_L127,Myobatrachidae_L90,74.847,1098,1467,288,41,81,1098,74.85,148,1557,1740,81,81,79,1521,1671,0,899,996
Microhylidae_L13,Myobatrachidae_L8,78.607,632,804,163,2,9,632,78.61,80,877,936,85,85,35,835,873,0,679,752
Microhylidae_L130,Myobatrachidae_L91,79.883,1362,1705,253,40,90,1362,79.88,17,1669,1908,87,87,1788,122,1788,0,1454,1612
Microhylidae_L131,Myobatrachidae_L92,80.762,1717,2126,349,6,60,1717,80.76,218,2343,2439,87,87,221,2286,2286,0,2022,2242
Microhylidae_L133,Myobatrachidae_L93,85.884,1594,1856,261,1,1,1594,85.88,8,1862,1923,96,96,1,1856,1881,0,2164,2399
Microhylidae_L135,Myobatrachidae_L94,77.652,1442,1857,324,42,91,1442,77.65,251,2064,2206,82,82,1836,28,1848,0,1393,1544
Microhylidae_L136,Myobatrachidae_L95,73.088,755,1033,241,11,37,755,73.09,184,1193,1320,77,77,82,1100,1116,1.31e-172,600,664
Microhylidae_L137,Myobatrachidae_L96,74.783,774,1035,235,6,26,774,74.78,108,1122,1134,90,90,40,1068,1068,0,686,760
Microhylidae_L138,Myobatrachidae_L97,77.035,1382,1794,290,42,122,1382,77.03,187,1943,2116,83,83,1724,16,1734,0,1326,1470
Microhylidae_L14,Myobatrachidae_L9,73.201,773,1056,182,22,101,773,73.2,4,1028,1218,84,84,1194,209,1266,0,640,709
Microhylidae_L141,Myobatrachidae_L98,80.033,970,1212,242,0,0,970,80.03,186,1397,1488,81,81,132,1343,1392,0,1097,1216
